descriptive statistic					
	(1)	(2)	(3)	(4)	(5)
VARIABLES	N	mean	sd	min	max
					
v1	983	492	283.9	1	983
roe	979	10.82	6.379	-15.82	33.47
t1cr	981	12.84	1.783	9.520	19.90
stock_price	934	50.42	36.50	3.330	254.8
leverage_ratio	875	8.850	2.407	0	16.40
year	983	2,015	2.287	2,011	2,018
adj_ebitda_B	704	2.532	2.404	-8.083	10.73
mkt_cap_B	934	60.60	66.29	2.595	379.2
t1c_B	852	543.7	2,556	5.179	16,485
GSIB	983	0.391	0.488	0	1
gdp	983	53,919	5,562	42,044	60,127
cpi	983	108.7	3.611	102.9	115.2
rir	959	1.812	0.728	-0.237	3.675
T	983	0.195	0.397	0	1
P	983	0.631	0.483	0	1
TP	983	0.122	0.328	0	1
tq_var	983	219.6	9.212	204	235
					
